well	Pi_conc	sensor_conc	date	data_file	Time	fluorescence	row	column	condition
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	650	16954	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	663	17006	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	676	17036	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	689	17000	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	702	16958	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	715	17028	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	728	16918	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	741	16902	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	754	16775	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	767	16815	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	780	16863	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	793	16886	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	806	16919	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	819	16880	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	832	16832	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	845	16877	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	858	16799	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	871	16879	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	884	16792	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	897	16803	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	910	16829	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	923	16811	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	936	16862	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	949	16787	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	962	16784	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	975	16748	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	988	16869	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1001	16930	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1014	16850	A	2	20181107-A-2-4.5-10
A2	4.5	10	20181107	GTPase_assay/2018_data/20181107_GAP_calibration2.txt	1027	16926	A	2	20181107-A-2-4.5-10
