sample	well	conc	GEF_conc	date	k_est	cutoff_time	data_file
PE14_Y157A	C2	0.75	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
PE14_Y157A	C3	1	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
PE14_Y157A	C4	1.5	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
PE14_Y157A	E2	1.5	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay3.txt
PE14_Y157A	C1	1.75	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay.txt
PE14_Y157A	C2	2	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay.txt
PE14_Y157A	E3	2	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay3.txt
PE14_Y157A	C5	2.25	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
PE14_Y157A	C3	2.5	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay.txt
PE14_Y157A	C4	3	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay.txt
PE14_Y157A	E4	3	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay3.txt
PE14_Y157A	C6	3.25	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
PE14_Y157A	E5	3.5	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay3.txt
PE14_Y157A	C5	3.75	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay.txt
PE14_Y157A	C6	4	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay.txt
PE14_Y157A	E6	4.5	5	20180905	0.003		GEF_assay/2018_data/20180905_GEF_FRET_assay3.txt
PE14_Y157A	E1	5.5	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay4.txt
PE14_Y157A	E2	7	5	20180905	0.01		GEF_assay/2018_data/20180905_GEF_FRET_assay4.txt
PE14_Y157A	E3	8	5	20180905	0.001	4000	GEF_assay/2018_data/20180905_GEF_FRET_assay4.txt
PE14_Y157A	E4	9	5	20180905	0.001	4000	GEF_assay/2018_data/20180905_GEF_FRET_assay4.txt
PE14_Y157A	E5	10	5	20180905	0.001	4000	GEF_assay/2018_data/20180905_GEF_FRET_assay4.txt
PE14_Y157A	E6	12	5	20180905	0.001	4000	GEF_assay/2018_data/20180905_GEF_FRET_assay4.txt
PE14_Y157A	C1	0.25	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay.txt
PE14_Y157A	C2	0.5	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay.txt
PE14_Y157A	C3	0.75	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay.txt
PE14_Y157A	C4	1	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay.txt
PE14_Y157A	C5	1.25	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay.txt
PE14_Y157A	C6	1.5	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay.txt
PE14_Y157A	C7	1.75	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay.txt
PE14_Y157A	C8	2	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay.txt
PE14_Y157A	C9	2.25	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay.txt
PE14_Y157A	E1	2.25	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay2.txt
PE14_Y157A	C10	2.5	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay.txt
PE14_Y157A	E2	2.5	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay2.txt
PE14_Y157A	C11	2.75	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay.txt
PE14_Y157A	E3	2.75	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay2.txt
PE14_Y157A	C12	3	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay.txt
PE14_Y157A	E4	3	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay2.txt
PE14_Y157A	E5	3.25	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay2.txt
PE14_Y157A	E1	3.25	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay3.txt
PE14_Y157A	E6	3.5	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay2.txt
PE14_Y157A	E7	3.75	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay2.txt
PE14_Y157A	E8	4	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay2.txt
PE14_Y157A	E2	4	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay3.txt
PE14_Y157A	E9	4.5	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay2.txt
PE14_Y157A	E3	4.5	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay3.txt
PE14_Y157A	E10	5	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay2.txt
PE14_Y157A	E4	5	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay3.txt
PE14_Y157A	E11	5.5	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay2.txt
PE14_Y157A	E5	5.5	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay3.txt
PE14_Y157A	E12	6	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay2.txt
PE14_Y157A	E6	6	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay3.txt
PE14_Y157A	E7	7	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay3.txt
PE14_Y157A	E8	8	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay3.txt
PE14_Y157A	E9	9	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay3.txt
PE14_Y157A	E10	10	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay3.txt
PE14_Y157A	E11	11	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay3.txt
PE14_Y157A	E12	12	5	20181105	0.005		GEF_assay/2018_data/20181105_GEF_FRET_assay3.txt
PE15_T34L	C7	0.25	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
PE15_T34L	E7	0.5	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay3.txt
PE15_T34L	C8	0.75	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
PE15_T34L	C9	1	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
PE15_T34L	C10	1.5	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
PE15_T34L	E8	1.5	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay3.txt
PE15_T34L	C7	1.75	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay.txt
PE15_T34L	C8	2	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay.txt
PE15_T34L	E9	2	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay3.txt
PE15_T34L	C11	2.25	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
PE15_T34L	C9	2.5	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay.txt
PE15_T34L	C10	3	5	20180905	0.007		GEF_assay/2018_data/20180905_GEF_FRET_assay.txt
