sample	well	conc	GEF_conc	date	k_est	span1	f_plateau	cutoff_time	back_signal	fit	data_file
PE14_Y157A	E5	3.5	5	20180905	0.003	3500	7100		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay3.txt
PE14_Y157A	C5	3.75	5	20180905	0.003	2600	3900		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay.txt
PE14_Y157A	C6	4	5	20180905	0.004	2700	3900		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay.txt
PE14_Y157A	E6	4.5	5	20180905	0.002	4400	9300		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay3.txt
PE14_Y157A	E1	5.5	5	20180905	0.003	1900	3700		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay4.txt
PE14_Y157A	E2	7	5	20180905	0.002	6000	12000		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay4.txt
PE14_Y157A	E3	8	5	20180905	0.001	7000	16000		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay4.txt
PE14_Y157A	E4	9	5	20180905	0.001	8100	19300		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay4.txt
PE14_Y157A	E5	10	5	20180905	0.001	8200	20000		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay4.txt
PE14_Y157A	E6	12	5	20180905	0.001	9000	27000	4000	exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay4.txt
PE15_T34L	C7	0.25	5	20180905	0.02	280	400		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
PE15_T34L	E7	0.5	5	20180905	0.016	430	670		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay3.txt
PE15_T34L	C8	0.75	5	20180905	0.02	410	460		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
PE15_T34L	C9	1	5	20180905	0.01	1100	1600		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
PE15_T34L	C10	1.5	5	20180905	0.01	1700	2200		exp	exp	GEF_assay/2018_data/20180905_GEF_FRET_assay2.txt
